Core Word,Long Tail,Source,Popularity,Difficulty,Our Ranking,Apps in Ranking,Note
meal,baby meal planner,natural-query pattern en 'X planner',5,19,1000,249,precisa entrar em campo: planner
meal,baby meal ideas,natural-query pattern en 'X ideas',5,23,234,249,precisa entrar em campo: ideas
month,6 month baby food,stage-1 competitor SERP n-gram (candidate_terms tsv) us — composição '6 month'+'baby food',5,9,107,245,precisa entrar em campo: food
month,6 month old baby food,natural-query pattern en 'idade + baby food',5,9,190,247,precisa entrar em campo: food
nutrition,baby nutrition,natural-query pattern en 'baby X',5,17,87,249,composição livre (todos os tokens já em campo)
puree,baby puree,natural-query pattern en 'baby X',5,15,46,249,composição livre (todos os tokens já em campo)
puree,puree recipes,natural-query pattern en 'X recipes',5,19,1000,245,composição livre (todos os tokens já em campo)
puree,baby puree recipes,natural-query pattern en 'baby X recipes',5,11,107,243,composição livre (todos os tokens já em campo)
recipes,baby food recipes,extract_competitors_keywords 'baby food' us (combo recipes pop53),6,17,214,248,precisa entrar em campo: food
recipes,healthy recipes,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Baby Foods and Recipes subtitle,21,70,1000,249,precisa entrar em campo: healthy
solid,solid starts,Astro get_keyword_suggestions app 6758321287 us,61,40,46,136,composição livre (todos os tokens já em campo)
solid,solid starts free,Astro get_keyword_suggestions app 6758321287 us,6,17,59,134,precisa entrar em campo: free
solid,solid start,Astro get_keyword_suggestions app 6758321287 us,9,17,72,135,precisa entrar em campo: start
solid,solid starts baby first foods,Astro get_keyword_suggestions app 6758321287 us,6,17,61,247,composição livre (todos os tokens já em campo)
solids,babyplate starting solids,Astro get_keyword_suggestions app 6758321287 us,8,19,93,250,precisa entrar em campo: babyplate
solids,baby solids food tracker,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Baby Solids Food Tracker name,5,39,68,248,precisa entrar em campo: food
solids,track solids,stage-1 competitor SERP n-gram (candidate_terms tsv) us — DearBaby subtitle,5,15,1000,244,precisa entrar em campo: track
solids,solids for baby,natural-query pattern en 'X for baby',5,13,102,248,composição livre (todos os tokens já em campo)
starting,starting food,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Baby Led Weaning: BLW Solids subtitle,5,13,1000,249,precisa entrar em campo: food
starts,start solids,Astro get_keyword_suggestions app 6758321287 us,6,17,65,132,precisa entrar em campo: start
starts,start solid food,stage-1 competitor SERP n-gram (candidate_terms tsv) us — BLW Meals name,5,17,119,249,precisa entrar em campo: food+start
toddler,toddler meal ideas,natural-query pattern en 'toddler X',5,19,1000,250,precisa entrar em campo: ideas
toddler,toddler food tracker,natural-query pattern en 'toddler X tracker',5,44,1000,250,precisa entrar em campo: food
toddler,toddler recipes,natural-query pattern en 'toddler X',5,39,1000,248,composição livre (todos os tokens já em campo)
tracker,food tracker,extract_competitors_keywords 'baby led weaning' us,63,80,1000,248,precisa entrar em campo: food
tracker,baby tracker,extract_competitors_keywords 'baby led weaning' us,63,78,1000,248,composição livre (todos os tokens já em campo)
weaning,baby weaning,Astro get_keyword_suggestions app 6758321287 us,26,17,24,249,composição livre (todos os tokens já em campo)
weaning,baby led weaning,Astro get_keyword_suggestions app 6758321287 us,9,15,17,247,composição livre (todos os tokens já em campo)
weaning,baby weaning and recipes,Astro get_keyword_suggestions app 6758321287 us,6,19,32,247,composição livre (todos os tokens já em campo)
weaning,weaning guide,extract_competitors_keywords 'baby led weaning' us (combo guide pop9),5,7,35,247,precisa entrar em campo: guide
weaning,baby led weaning recipes,natural-query pattern en 'X recipes',5,15,17,246,composição livre (todos os tokens já em campo)
weaning,when to start solids,natural-query pattern en pergunta real de weaning,5,9,241,249,precisa entrar em campo: start
