Term,Fit,Pop,Diff,Our Rank,Top3 Owner (ratings),Score,Target Position D28,Protecting/Needed Tokens
comida bebê 6,PARTIAL,5,79,unranked,~66 apps no SERP,LOTTERY,—,-
diário,PARTIAL,5,54,unranked,~247 apps no SERP,LOTTERY,—,-
bebê,PARTIAL,5,63,unranked,~242 apps no SERP,LOTTERY,—,-
receitas bebê,PARTIAL,5,17,unranked,~242 apps no SERP,LOTTERY,—,-
bebê 1 ano,PARTIAL,5,53,unranked,~83 apps no SERP,LOTTERY,—,-
comida 6 meses,FIT,5,87,unranked,~84 apps no SERP,LOTTERY,—,-
bebê 7 meses,PARTIAL,5,81,unranked,~20 apps no SERP,LOTTERY,—,-
alimentação bebê,FIT,5,43,unranked,~241 apps no SERP,LOTTERY,—,-
nutrição bebê,PARTIAL,5,39,unranked,~244 apps no SERP,LOTTERY,—,-
bebê 8 meses,PARTIAL,5,73,unranked,~14 apps no SERP,LOTTERY,—,-
comida bebê 7 meses,FIT,5,78,unranked,~116 apps no SERP,LOTTERY,—,-
controle alimentação bebê,FIT,5,34,unranked,~21 apps no SERP,LOTTERY,—,-
blw método,FIT,5,18,unranked,~3 apps no SERP,LOTTERY,—,-
cortes seguros bebê,FIT,5,28,unranked,~1 apps no SERP,LOTTERY,—,-
diário alimentar bebê,FIT,5,34,unranked,~137 apps no SERP,LOTTERY,—,-
feeding diary baby,FIT,5,40,unranked,~213 apps no SERP,LOTTERY,—,-
lanche bebê,PARTIAL,5,46,unranked,~246 apps no SERP,LOTTERY,—,-
app blw,FIT,5,45,unranked,~244 apps no SERP,LOTTERY,—,-
receitas para bebê,PARTIAL,5,38,unranked,BLW Brasil 1887r / Garfinho 350r / TudoGostoso 129560r,LOTTERY,—,tokens existem; SERP pesado + intent recipe ampla
comida de bebê,FIT,5,49,unranked,~237 apps no SERP,LOTTERY,—,-
primeira comida do bebê,FIT,5,23,unranked,~22 apps no SERP,LOTTERY,—,-
como cortar alimentos bebê,FIT,5,30,unranked,~3 apps no SERP,LOTTERY,—,-
alimentação bebês,FIT,5,42,unranked,~221 apps no SERP,LOTTERY,—,-
comida para bebê,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
blw recipes,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
receitas blw,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
cortes blw,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
cortes de alimentos,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
receitas para bebê de 6 meses,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
papinha alergia,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
receitas de papinha,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
papinha para bebê,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
comida,PARTIAL,59,83,unranked,heads gigantes,UNWINNABLE,—,não gastar
baby,PARTIAL,52,57,unranked,Huckleberry 71k+ / trackers gigantes,UNWINNABLE,—,não gastar
receitas,PARTIAL,50,42,unranked,TudoGostoso 129560r + apps de receita gerais,UNWINNABLE,—,não gastar
comidas,PARTIAL,41,75,unranked,heads de comida/delivery,UNWINNABLE,—,não gastar
baby app,PARTIAL,35,54,unranked,heads baby 10k+,UNWINNABLE,—,não gastar
alimentação,PARTIAL,27,70,unranked,apps de dieta gigantes,UNWINNABLE,—,não gastar
