Keyword,Fit,Pop,Diff,RankAtual,TopIncumbents(ratings),Winnability,TargetPosD28,RationaleCurta
blw 6 meses,FIT,5,5,OUT,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
blw en español,FIT,5,5,OUT,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
comida sólida bebé,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
destete dirigido por el bebé,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
guía alimentación complementaria,FIT,5,5,OUT,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
guía blw,FIT,5,5,OUT,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
introducción alergenos,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
introducción alimentos bebé,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
introducción de sólidos,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
método blw,FIT,5,5,OUT,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papilla de frutas,FIT,5,5,OUT,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papillas 6 meses,FIT,5,5,OUT,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papillas para bebés,FIT,5,5,OUT,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papillas y purés,FIT,5,5,OUT,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
prevención atragantamiento,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
recetas bebé 6 meses,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
recetas para bebé,FIT,5,9,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
registro alergias bebé,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
alimentacion,PARTIAL,12,49,72,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 40,rank fundo; so se sobrar char
primera comida bebé,FIT,5,17,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
alimentación infantil,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
atragantamiento bebé,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
menú bebé 6 meses,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
blw ideas,FIT,54,11,OUT,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),UNWINNABLE,-,pop 54 mas brand do lider (874 ratings) — navegacional
bebes,PARTIAL,33,53,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebé,PARTIAL,18,54,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebés,PARTIAL,11,53,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
baby led weaning app,FIT,7,7,16,SS 317; Drama 34; resto <30,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
app alimentación complementaria,FIT,5,7,3,BLW Ideas 874; Solid Starts 317; resto <60,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
app blw,FIT,5,30,OUT,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
comida para bebé,FIT,5,40,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
recetas infantiles,PARTIAL,5,45,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
