Keyword,Store,Pop,Diff,Rank,Verdict,Reason
first foods app,us,5,49,OUT,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
first foods list,us,5,40,OUT,FIT,catalogo 120 alimentos por idade/categoria com preparo
food allergen log,us,5,5,OUT,FIT,flag alergenico + reacao por nivel no diario
food introduction tracker,us,5,5,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
foods for baby,us,5,17,193,FIT,catalogo 120 alimentos por idade/categoria com preparo
introduction to solids,us,5,9,192,FIT,nicho exato EN
new food tracker,us,5,9,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
puree tracker,us,5,5,51,FIT,diario de introducao alimentar (registro+reacao+meta 100)
solid food for baby,us,5,19,132,FIT,catalogo 120 alimentos por idade/categoria com preparo
solid food introduction,us,5,9,OUT,FIT,nicho exato EN
solid start,us,9,17,79,FIT,competitor_brand mesma categoria + leitura generica
solid starts,us,61,41,49,FIT,"competitor_brand da MESMA categoria; leitura generica ""solid starts"" = nosso nicho (esta no nosso subtitle)"
solid starts baby first foods,us,6,17,64,FIT,nome completo do concorrente lider — mesma categoria/intencao
solid starts free,us,6,21,74,FIT,buscador quer alternativa gratis ao Solid Starts — nos somos freemium mais barato
solid starts recipes,us,5,19,OUT,FIT,"brand+receitas — mesma categoria, temos receitas"
solids log,us,5,17,53,FIT,diario de introducao alimentar (registro+reacao+meta 100)
start solids,us,6,17,71,FIT,nicho exato EN
starting solids,us,29,19,22,FIT,nicho exato em EN — SERP US e nossa categoria (Solid Starts et al)
starting solids at 6 months,us,5,11,43,FIT,catalogo 120 alimentos por idade/categoria com preparo comeca em 6m
starting solids first foods,us,5,17,75,FIT,nucleo EN
starting solids guide,us,5,11,OUT,FIT,tips_screen: guia BLW/seguranca/quando comecar
starting solids recipes,us,5,19,OUT,FIT,112 receitas por categoria (freemium)
table foods for baby,us,5,7,120,FIT,catalogo 120 alimentos por idade/categoria com preparo + cortes por fase
weaning,us,14,13,4,FIT,"SERP US top10 = nossa categoria (Solid Starts, BLW apps, nos #3) — sentido App Store e alimentar, nao destete"
weaning guide,us,5,7,37,FIT,tips_screen: guia BLW/seguranca/quando comecar
allergies,us,7,34,OUT,PARTIAL,"alergia generica adulta (polen, medicamento); nosso escopo e alergenico alimentar de bebe"
allergy,us,21,54,OUT,PARTIAL,idem — polissemico adulto
allergy app,us,12,37,OUT,PARTIAL,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token; alergia generica adulta domina"
baby app,us,7,72,OUT,PARTIAL,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token; generico de bebe"
baby choking,us,5,5,OUT,PARTIAL,"prevencao sim, socorro nao — NOT-list: sem primeiros socorros de engasgo, so prevencao"
baby diary,us,19,39,OUT,PARTIAL,diario generico do bebe (marcos/momentos); so cobrimos alimentacao+fotos
baby first,us,8,47,OUT,PARTIAL,fragmento de baby first foods — feeder; sozinho e generico
baby food schedule,us,5,7,169,PARTIAL,"schedule intent; progressao por idade cobre parcialmente o ""quando"""
blw schedule,us,5,11,OUT,PARTIAL,"sem scheduler; progressao por idade do catalogo cobre so parcialmente o ""quando"""
feeding log,us,5,44,OUT,PARTIAL,feeding no SERP = mamadas/mamadeira; nosso log e de solidos — feeder fraco
solid food schedule,us,5,52,OUT,PARTIAL,sem scheduler; idade-por-alimento cobre parcialmente
stage 2 purees,us,5,9,134,PARTIAL,"terminologia de estagios Gerber — temos receitas por idade, nao sistema de stages"
weaning schedule,us,5,17,62,PARTIAL,sem scheduler; progressao por idade cobre parcialmente
app led,us,7,45,OUT,MISMATCH,"busca por LED/lanterna, nao pelo metodo — categoria errada"
baby feeding tracker,us,6,65,72,MISMATCH,"SERP US top10 = trackers de mamada/sono/fralda (Huckleberry, Baby Tracker) — NOT-list: sem sono/fralda/mamada — SERP = baby trackers genericos"
baby schedule,us,20,51,OUT,MISMATCH,rotina do bebe (sono/mamada) — NOT-list: sem sono/fralda/mamada — SERP = baby trackers genericos
baby tracker,us,63,78,OUT,MISMATCH,NOT-list: sem sono/fralda/mamada — SERP = baby trackers genericos
delivery food,us,6,93,OUT,MISMATCH,delivery — categoria errada
food,us,67,94,OUT,MISMATCH,generico total — delivery/receitas adultas
food delivery,us,61,94,OUT,MISMATCH,delivery — categoria errada
food planner,us,6,59,OUT,MISMATCH,"NOT-list: sem cardapio semanal/meal planner (description promete, source nao tem)"
food recipes,us,7,67,OUT,MISMATCH,receitas genericas de culinaria adulta — categoria errada
food scanner,us,48,67,OUT,MISMATCH,scanner de codigo de barras/nutricao — nao temos scanner
food tracker,us,63,80,OUT,MISMATCH,tracker de comida ADULTO (calorias/dieta) — categoria errada
food truck,us,25,48,OUT,MISMATCH,food truck — categoria errada
huckleberry baby,us,14,34,OUT,MISMATCH,brand de sleep tracker — NOT-list: sem sono/fralda/mamada — SERP = baby trackers genericos
led app,us,8,56,OUT,MISMATCH,"busca por LED/lanterna, nao pelo metodo — categoria errada"
meal tracker,us,55,81,OUT,MISMATCH,tracker de refeicao adulto (dieta) — categoria errada
nara baby,us,50,54,OUT,MISMATCH,brand de baby tracker gravidez/recem-nascido (sono/mamada) — NOT-list: sem sono/fralda/mamada — SERP = baby trackers genericos
newborn tracker,us,23,63,OUT,MISMATCH,recem-nascido = pre-solidos (sono/mamada) — NOT-list: sem sono/fralda/mamada — SERP = baby trackers genericos
scan food,us,6,51,OUT,MISMATCH,idem scanner
start,us,48,23,OUT,MISMATCH,token generico sem intencao ligada ao nicho
tracker app,us,17,62,OUT,MISMATCH,tracker generico + token app proibido — categoria indefinida
weaning meal plan,us,5,17,200,MISMATCH,"NOT-list: sem cardapio semanal/meal planner (description promete, source nao tem)"
