Keyword,Fit,Pop,Diff,RankAtual,TopIncumbents(ratings),Winnability,TargetPosD28,RationaleCurta
starting solids guide,FIT,5,11,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
blw ideas,FIT,39,19,OUT,Solid Starts 43368; Drama Labs 689; BLW Meals 308,LOTTERY,-,OUT + diff medio; nao prioritario
babyplate starting solids,FIT,8,19,115,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
baby first foods,FIT,8,15,141,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,top 60,pop 8; ja #141 — massa do SS nas composicoes first foods
allergies,PARTIAL,7,34,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
solid starts baby first foods,FIT,6,17,64,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,top 40,brand-longtail do lider; ja #64
start solids,FIT,6,17,71,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,top 40,rank fundo; so se sobrar char
solid starts free,FIT,6,21,74,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,top 40,"ja #74; intencao 'alternativa gratis' e nossa, mas rank fundo"
weaning schedule,PARTIAL,5,17,62,MadeForMums 9; Drama Labs 689; nos #3 (SS 43368 so em #9),LOTTERY,top 40,PARTIAL (sem scheduler); ja #62
starting solids first foods,FIT,5,17,75,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,top 40,rank fundo; so se sobrar char
allergen tracker baby,FIT,5,37,76,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 40,diff 37; ja #76; allergen ja no kw
baby's first foods,FIT,5,9,83,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
baby puree recipes,FIT,5,11,99,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,rank >80; sem sinal pra subir
baby food recipes 6 months,FIT,5,13,114,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
table foods for baby,FIT,5,7,120,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
solid food for baby,FIT,5,19,132,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
stage 2 purees,PARTIAL,5,9,134,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,rank >80; sem sinal pra subir
blw meals tracker,FIT,5,11,147,Solid Starts 43368; Drama Labs 689; BLW Meals 308,LOTTERY,-,rank >80; sem sinal pra subir
baby food schedule,PARTIAL,5,7,169,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
100 foods baby,FIT,5,7,175,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 60,feature exata mas rank #175 — precisa token '100' pra compor
easy baby food recipes,FIT,5,11,190,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
introduction to solids,FIT,5,9,192,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
foods for baby,FIT,5,17,193,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
100 foods checklist,FIT,5,7,200,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 60,idem; #200
first foods allergens,FIT,5,9,240,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,rank >80; sem sinal pra subir
100 foods before one,FIT,5,23,OUT,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,OUT + diff medio; nao prioritario
first food tracker,FIT,5,19,OUT,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,OUT + diff medio; nao prioritario
solid starts recipes,FIT,5,19,OUT,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,"brand-longtail, OUT"
starting solids recipes,FIT,5,19,OUT,Solid Starts 43368; Palina 145; Drama 689,LOTTERY,-,OUT + diff medio; nao prioritario
baby choking,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
blw schedule,PARTIAL,5,11,OUT,Solid Starts 43368; Drama Labs 689; BLW Meals 308,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
solid starts,FIT,61,41,49,Solid Starts 43368; Lovevery 13529; Huckleberry 71571,UNWINNABLE,-,pop 61 diff 41; brand do lider 43k + Lovevery/Huckleberry 13-71k; tokens ficam SO pelas composicoes (ja no subtitle)
allergy,PARTIAL,21,54,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
baby diary,PARTIAL,19,39,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
allergy app,PARTIAL,12,37,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
baby food,FIT,9,44,192,Solid Starts 43368; Palina 145; Drama 689,UNWINNABLE,-,pop 9 diff 44 generico; ja #192
blw meals,FIT,8,37,167,Solid Starts 43368; Drama Labs 689; BLW Meals 308,UNWINNABLE,-,rank fundo + diff alto
baby first,PARTIAL,8,47,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
baby app,PARTIAL,7,72,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
baby weaning app,FIT,5,23,80,MadeForMums 9; Drama Labs 689; nos #3 (SS 43368 so em #9),UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
blw app,FIT,5,49,225,Solid Starts 43368; Drama Labs 689; BLW Meals 308,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
baby solid food,FIT,5,40,243,Solid Starts 43368; Palina 145; Drama 689,UNWINNABLE,-,rank fundo + diff alto
choking hazards baby,FIT,5,23,250,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,rank fundo + diff alto
baby eating tracker,FIT,5,53,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
baby food app,FIT,5,23,OUT,Solid Starts 43368; Palina 145; Drama 689,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
blw meal ideas,FIT,5,38,OUT,Solid Starts 43368; Drama Labs 689; BLW Meals 308,UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
first foods app,FIT,5,49,OUT,Solid Starts 43368; Palina 145; Drama 689,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
first foods list,FIT,5,40,OUT,Solid Starts 43368; Palina 145; Drama 689,UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
feeding log,PARTIAL,5,44,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
solid food schedule,PARTIAL,5,52,OUT,Solid Starts 43368; Palina 145; Drama 689,UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
