Keyword,Fit,Pop,Diff,RankAtual,TopIncumbents(ratings),Winnability,TargetPosD28,RationaleCurta
acompanhar introdução alimentar,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
alergia alimentar bebê,FIT,5,11,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
alergênicos bebê,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
alimentação bebê 6 meses,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
alimentação blw,FIT,5,15,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
blw em português,FIT,5,5,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
blw primeiros alimentos,FIT,5,5,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
blw tradicional,FIT,5,5,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
checklist introdução alimentar,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
começar introdução alimentar,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
comida caseira bebê,FIT,5,9,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
como fazer papinha,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
cortes blw por idade,FIT,5,5,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
diário introdução alimentar,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
fruta 6 meses,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
guia baby led weaning,FIT,5,5,OUT,Solid Starts 57; resto 0-20 ratings,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
guia blw,FIT,5,9,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
guia introdução alimentar,FIT,5,12,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
intolerância alimentar bebê,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
introdução alimentar bebê,FIT,5,13,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
introdução alimentar participativa,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
introdução alimentar tradicional,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha 7 meses,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha 8 meses,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha bebê,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha caseira bebê,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha de bebê,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha de fruta,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
papinha salgada,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
primeira papinha,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
primeiro alimento,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
primeiros alimentos,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
primeiros alimentos bebê,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
rastrear alimentação bebê,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
receitas bebê 1 ano,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
receitas bebê 6 meses,FIT,5,5,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
receitas blw bebê,FIT,5,13,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
receitas saudáveis bebê,FIT,5,15,OUT,Pippin 13; nos #2; resto 0-20,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
registrar alimentos bebê,FIT,5,11,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
registro alergia bebê,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
tabela introdução alimentar,FIT,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
texturas bebê,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
solid starts,FIT,50,5,68,Solid Starts 57; resto 0-20 ratings,LOTTERY,top 40,pop 50 mas brand do lider; tokens ja no subtitle e mesmo assim #68 — manter pelas composicoes
diário alimentar,PARTIAL,23,21,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,-,OUT + diff medio; nao prioritario
babyplate,FIT,11,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,brand pequena; so se sobrar char
baby food,FIT,8,7,68,Solid Starts 57; resto 0-20 ratings,LOTTERY,top 40,"pop 8; generico, ja #68"
baby food tracker,FIT,5,42,62,Solid Starts 57; resto 0-20 ratings,LOTTERY,-,diff 42; ja #62 sem tracao
alimentação complementar,FIT,5,18,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
blw bebê,FIT,5,17,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),LOTTERY,-,OUT + diff medio; nao prioritario
blw método,FIT,5,18,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),LOTTERY,-,OUT + diff medio; nao prioritario
como cortar alimentos bebê,FIT,5,30,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
controle alimentação bebê,FIT,5,34,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
cortes seguros bebê,FIT,5,28,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
diário alimentar bebê,FIT,5,34,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,-,OUT + diff medio; nao prioritario
método blw,FIT,5,34,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),LOTTERY,-,OUT + diff medio; nao prioritario
primeira comida do bebê,FIT,5,23,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,-,OUT + diff medio; nao prioritario
receitas bebê,FIT,5,17,OUT,Pippin 13; nos #2; resto 0-20,LOTTERY,-,OUT + diff medio; nao prioritario
6 meses diário,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
alergia alimentar,PARTIAL,5,11,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
alimentação infantil,PARTIAL,5,11,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
cardápio bebê 6 meses,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
cardápio introdução alimentar,PARTIAL,5,9,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
cardápio papinha,PARTIAL,5,5,OUT,Pippin 13; nos #2; resto 0-20,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
desengasgo bebê,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
desengasgo infantil,PARTIAL,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
engasgo bebê,PARTIAL,5,12,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
lanche infantil,PARTIAL,5,13,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
maternidade alimentação,PARTIAL,5,13,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
nutrição infantil,PARTIAL,5,9,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
pediatria alimentar,PARTIAL,5,5,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
planejamento alimentar bebê,PARTIAL,5,9,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
plano alimentar bebê,PARTIAL,5,17,OUT,BLW Brasil 1885; Pippin 13; Garfinho 350,LOTTERY,-,OUT + diff medio; nao prioritario
receitas infantis saudáveis,PARTIAL,5,5,OUT,Pippin 13; nos #2; resto 0-20,LOTTERY,top 20 se token entrar,OUT; diff baixo mas intencao parcial
led,PARTIAL,57,23,81,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,rank fundo + diff alto
blw brasil,FIT,56,38,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),UNWINNABLE,-,"brand do BLW SOCIAL (dono presente, 1885 ratings) + diff 38"
baby,PARTIAL,52,57,OUT,Solid Starts 57; resto 0-20 ratings,UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
tracker,PARTIAL,43,40,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
baby app,PARTIAL,35,54,OUT,Solid Starts 57; resto 0-20 ratings,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
alimentação,PARTIAL,27,70,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
beb,PARTIAL,25,49,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebé,PARTIAL,19,45,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebés,PARTIAL,12,38,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
baby led weaning app,FIT,7,9,17,Solid Starts 57; resto 0-20 ratings,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
alimentos,PARTIAL,6,48,151,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,rank fundo + diff alto
corte,PARTIAL,6,49,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
app introdução alimentar,FIT,5,11,16,BLW Brasil 1885; Pippin 13; Garfinho 350,UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
alimentar,PARTIAL,5,57,183,BLW Brasil 1885; Pippin 13; Garfinho 350,UNWINNABLE,-,rank fundo + diff alto
6 meses,PARTIAL,5,90,188,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,rank fundo + diff alto
alimentação bebê,FIT,5,43,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
alimentação bebês,FIT,5,42,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
alimentação do bebê,FIT,5,42,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
app blw,FIT,5,45,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),UNWINNABLE,-,token 'app' vetado (memoria do lab) — nunca compor
comida 6 meses,FIT,5,87,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
comida bebê,FIT,5,47,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
comida bebê 6,FIT,5,79,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
comida bebê 6 meses,FIT,5,75,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
comida bebê 7 meses,FIT,5,78,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
comida de bebê,FIT,5,49,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
mundo blw,FIT,5,36,OUT,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),UNWINNABLE,-,"brand do Mundo BLW (228 ratings, #1-2 nos proprios termos)"
receitas para bebê,FIT,5,38,OUT,Pippin 13; nos #2; resto 0-20,UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
acompanhamento bebê,PARTIAL,5,56,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebê,PARTIAL,5,63,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebê 1 ano,PARTIAL,5,53,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebê 6,PARTIAL,5,78,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebê 6 meses,PARTIAL,5,78,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebê 7 meses,PARTIAL,5,81,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
bebê 8 meses,PARTIAL,5,73,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
cardápio bebê,PARTIAL,5,50,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
diário,PARTIAL,5,54,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
feeding diary baby,PARTIAL,5,40,OUT,Solid Starts 57; resto 0-20 ratings,UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
lanche bebê,PARTIAL,5,46,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
meses,PARTIAL,5,54,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
meses diário,PARTIAL,5,51,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
nutrição bebê,PARTIAL,5,39,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",UNWINNABLE,-,OUT + diff alto; incumbentes genericos esmagam
